task_id,provider,requested_model,tested_model,api_version,run_timestamp,entry_point,generated_correct,canonical_correct,generated_time_s_median,canonical_time_s_median,generated_vs_canonical_ratio,generation_or_eval_error,canonical_eval_error
HumanEval/0,groq,llama-3.1-8b-instant,llama-3.1-8b-instant,openai-compatible-v1,20260411_105916,has_close_elements,True,True,1.4958030078560114e-05,1.7667014617472887e-05,0.8466642725119186,,
HumanEval/1,groq,llama-3.1-8b-instant,llama-3.1-8b-instant,openai-compatible-v1,20260411_105916,separate_paren_groups,True,True,1.5624973457306623e-05,1.6083999071270227e-05,0.9714607286453074,,
HumanEval/2,groq,llama-3.1-8b-instant,llama-3.1-8b-instant,openai-compatible-v1,20260411_105916,truncate_number,True,True,2.208980731666088e-06,2.166023477911949e-06,1.0198323121573687,,
HumanEval/3,groq,llama-3.1-8b-instant,llama-3.1-8b-instant,openai-compatible-v1,20260411_105916,below_zero,True,True,4.499976057559252e-06,4.667032044380903e-06,0.9642050911086444,,
HumanEval/4,groq,llama-3.1-8b-instant,llama-3.1-8b-instant,openai-compatible-v1,20260411_105916,mean_absolute_deviation,False,True,,8.083006832748652e-06,,AssertionError: ,
HumanEval/5,groq,llama-3.1-8b-instant,llama-3.1-8b-instant,openai-compatible-v1,20260411_105916,intersperse,True,True,6.459013093262911e-06,4.499976057559252e-06,1.4353438797552678,,
HumanEval/6,groq,llama-3.1-8b-instant,llama-3.1-8b-instant,openai-compatible-v1,20260411_105916,parse_nested_parens,True,True,1.6207981389015913e-05,1.5166006051003933e-05,1.0687046632124353,,
HumanEval/7,groq,llama-3.1-8b-instant,llama-3.1-8b-instant,openai-compatible-v1,20260411_105916,filter_by_substring,True,True,5.208014044910669e-06,5.332985892891884e-06,0.9765662519100633,,
HumanEval/8,groq,llama-3.1-8b-instant,llama-3.1-8b-instant,openai-compatible-v1,20260411_105916,sum_product,True,True,3.833032678812742e-06,4.041008651256561e-06,0.9485336483060613,,
HumanEval/9,groq,llama-3.1-8b-instant,llama-3.1-8b-instant,openai-compatible-v1,20260411_105916,rolling_max,True,True,8.333998266607523e-06,6.542017217725515e-06,1.2739187301474317,,
HumanEval/10,groq,llama-3.1-8b-instant,llama-3.1-8b-instant,openai-compatible-v1,20260411_105916,make_palindrome,True,True,1.2042000889778137e-05,6.834045052528381e-06,1.7620605069501227,,
HumanEval/11,groq,llama-3.1-8b-instant,llama-3.1-8b-instant,openai-compatible-v1,20260411_105916,string_xor,True,True,7.333990652114153e-06,8.457980584353209e-06,0.8671089486397765,,
HumanEval/12,groq,llama-3.1-8b-instant,llama-3.1-8b-instant,openai-compatible-v1,20260411_105916,longest,True,True,3.1660310924053192e-06,5.208014044910669e-06,0.6079152369988712,,
HumanEval/13,groq,llama-3.1-8b-instant,llama-3.1-8b-instant,openai-compatible-v1,20260411_105916,greatest_common_divisor,True,True,2.00001522898674e-06,1.8749851733446121e-06,1.0666832236433628,,
HumanEval/14,groq,llama-3.1-8b-instant,llama-3.1-8b-instant,openai-compatible-v1,20260411_105916,all_prefixes,True,True,6.249989382922649e-06,6.709014996886253e-06,0.9315807739024814,,
